iter	RMSE
0	9.850403143
1	8.066032205
2	6.605257814
3	5.409261129
4	4.431107229
5	3.63100854
6	2.976184692
7	2.440034942
8	2.002399131
9	1.643942522
10	1.352471895
11	1.115802438
12	0.9204993237
13	0.7613257707
14	0.6319034
15	0.5282027939
16	0.4465951259
17	0.3792005968
18	0.3251616916
19	0.2827125281
20	0.2507929922
21	0.2254623777
22	0.2050758863
23	0.1899640877
24	0.178582772
25	0.1688726101
26	0.1607571897
27	0.1553045593
28	0.149417791
29	0.1449821854
30	0.1405384792
31	0.1378264013
32	0.1355224245
33	0.1334463611
34	0.1294977467
35	0.1277761896
36	0.1252377963
37	0.1239275326
38	0.1212863956
39	0.1194412826
40	0.1178605852
41	0.1154539584
42	0.1133887364
43	0.1118107449
44	0.109917529
45	0.1074917795
46	0.1061640839
47	0.1045932865
48	0.1036706287
49	0.1027906494
50	0.1017977713
51	0.1001383305
52	0.09879727093
53	0.09778883383
54	0.09714926242
55	0.09591380309
56	0.09479601146
57	0.0939690316
58	0.09323506696
59	0.09205281181
60	0.09127380509
61	0.09045943902
62	0.08967209384
63	0.08907320066
64	0.08859369789
65	0.08793181048
66	0.08714639211
67	0.08676222116
68	0.08622066853
69	0.08569457308
70	0.08481660851
71	0.08431264661
72	0.08373633288
73	0.08352465993
74	0.08302697396
75	0.08254563489
76	0.08206601203
77	0.08151663784
78	0.08097570285
79	0.08026737214
80	0.07994888444
81	0.07958949066
82	0.07922403606
83	0.07916252007
84	0.07858376309
85	0.0782971709
86	0.07794869955
87	0.07750978832
88	0.0771786294
89	0.07675797492
90	0.07637755091
91	0.07603156252
92	0.07581967866
93	0.07544264401
94	0.07497942483
95	0.07452895007
96	0.07439117264
97	0.07383213894
98	0.07364086185
99	0.07328160919
100	0.07295265823
101	0.07273988867
102	0.07195273187
103	0.07126094039
104	0.07072693665
105	0.07044070679
106	0.07004035579
107	0.06971751386
108	0.06930646836
109	0.0689260277
110	0.06875486284
111	0.06841349459
112	0.06814344962
113	0.06794539329
114	0.0678846203
115	0.06768758389
116	0.06763063797
117	0.06747146533
118	0.06713744732
119	0.06691329506
120	0.06620760963
121	0.06603919821
122	0.06566678878
123	0.06543784026
124	0.06510946591
125	0.06482438643
126	0.06411064578
127	0.06396709048
128	0.06385845184
129	0.06366405864
130	0.06346805353
131	0.0632515106
132	0.06287765062
133	0.06254664601
134	0.06236603067
135	0.06187822469
136	0.06168574636
137	0.061423571
138	0.06128814415
139	0.06118621476
140	0.06078765563
141	0.06053579361
142	0.06033340947
143	0.06009604457
144	0.05992227403
145	0.05970556193
146	0.05961321256
147	0.05949600136
148	0.05907505227
149	0.05877100061
150	0.05855779898
151	0.05839814019
152	0.05819848356
153	0.05810851076
154	0.05772683102
155	0.05759390547
156	0.05745905217
157	0.05719301209
158	0.05672570703
159	0.05648160207
160	0.05609238914
161	0.05590460712
162	0.05568625697
163	0.05541477146
164	0.05521145725
165	0.05503245595
166	0.05470833948
167	0.05442409195
168	0.05397414491
169	0.05384304883
170	0.05373480857
171	0.05352425706
172	0.05343500009
