iter	Passed	Remaining
0	34	34224
1	70	35214
2	105	35057
3	145	36353
4	181	36149
5	209	34632
6	246	35018
7	283	35135
8	321	35434
9	359	35631
10	398	35816
11	414	34121
12	450	34204
13	490	34577
14	514	33772
15	551	33920
16	591	34208
17	629	34333
18	666	34418
19	705	34581
20	742	34619
21	780	34700
22	817	34741
23	855	34774
24	895	34938
25	934	35009
26	972	35057
27	1014	35202
28	1050	35185
29	1107	35801
30	1148	35903
31	1190	36013
32	1231	36086
33	1269	36079
34	1309	36115
35	1348	36105
36	1387	36111
37	1424	36069
38	1462	36032
39	1503	36094
40	1542	36080
41	1583	36109
42	1626	36201
43	1662	36124
44	1698	36051
45	1735	35999
46	1779	36074
47	1815	36011
48	1854	35991
49	1923	36539
50	1966	36595
51	2009	36642
52	2053	36684
53	2096	36724
54	2136	36715
55	2183	36800
56	2225	36812
57	2261	36735
58	2301	36700
59	2339	36657
60	2379	36632
61	2419	36606
62	2458	36563
63	2496	36512
64	2536	36493
65	2578	36495
66	2621	36506
67	2660	36465
68	2699	36423
69	2739	36399
70	2777	36340
71	2815	36290
72	2852	36216
73	2888	36146
74	2928	36121
75	2965	36053
76	3002	35989
77	3039	35927
78	3079	35898
79	3119	35875
80	3156	35811
81	3210	35938
82	3249	35901
83	3286	35833
84	3323	35777
85	3367	35786
86	3404	35728
87	3445	35708
88	3487	35695
89	3531	35704
90	3583	35793
91	3638	35911
92	3687	35962
93	3731	35967
94	3779	36004
95	3822	35994
96	3869	36024
97	3914	36031
98	3959	36037
99	4015	36138
100	4079	36309
101	4125	36323
102	4175	36362
103	4219	36355
104	4264	36351
105	4309	36342
106	4354	36343
107	4397	36316
108	4435	36258
109	4472	36190
110	4512	36144
111	4551	36086
112	4590	36036
113	4629	35976
114	4666	35915
115	4706	35870
116	4742	35794
117	4782	35746
118	4822	35702
119	4863	35662
120	4900	35595
121	4938	35538
122	4976	35483
123	5013	35415
124	5051	35363
125	5090	35312
126	5126	35241
127	5165	35191
128	5205	35145
129	5244	35100
130	5311	35233
